Price,Close,High,Low,Open,Volume
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA
Date,,,,,
2025-12-24,485.3999938964844,490.8999938964844,476.79998779296875,488.4800109863281,41285400
2025-12-26,475.19000244140625,489.0899963378906,473.82000732421875,485.2300109863281,58780700
2025-12-29,459.6400146484375,469.3999938964844,459.0,469.0,66263000
2025-12-30,454.42999267578125,463.1199951171875,453.8299865722656,461.0899963378906,59238500
2025-12-31,449.7200012207031,456.54998779296875,449.29998779296875,456.1000061035156,49078000
2026-01-02,438.07000732421875,458.3399963378906,435.29998779296875,457.79998779296875,85535400
2026-01-05,451.6700134277344,457.54998779296875,444.57000732421875,447.989990234375,67940800
2026-01-06,432.9599914550781,448.25,428.7799987792969,446.3800048828125,89093800
2026-01-07,431.4100036621094,438.3699951171875,431.2900085449219,435.8999938964844,59828800
2026-01-08,435.79998779296875,436.8900146484375,424.3699951171875,427.8900146484375,57041100
2026-01-09,445.010009765625,449.04998779296875,430.3900146484375,435.95001220703125,67331500
2026-01-12,448.9599914550781,454.29998779296875,438.0,441.2300109863281,61649600
2026-01-13,447.20001220703125,451.80999755859375,443.95001220703125,450.20001220703125,53719200
2026-01-14,439.20001220703125,443.9100036621094,434.2200012207031,442.80999755859375,57259500
2026-01-15,438.57000732421875,445.3599853515625,437.6499938964844,441.1300048828125,49465800
2026-01-16,437.5,447.25,435.260009765625,439.5,60220600
2026-01-20,419.25,430.7300109863281,417.44000244140625,429.3599853515625,63187300
2026-01-21,431.44000244140625,438.20001220703125,419.6199951171875,421.6600036621094,68124000
2026-01-22,449.3599853515625,449.5,432.6300048828125,435.1600036621094,71546700
2026-01-23,449.05999755859375,452.42999267578125,444.0400085449219,447.42999267578125,56636400
